product_id,product_name,product_price,average_weight_kg,product_category,customer_id,customer_name,product_count,total_amount,historical_amount,customer_start_date,last_transaction_date,transaction_id,transaction_amount,transaction_time
48443,Tortilla(6pck),5.0,0.3,Bakery,359816,Kylie Davis,4,20.0,20.0,5/28/2023,2024-10-14,55e61017-13c9-4eeb-b55c-f2526e2155f7,20.0,10/14/2024 22:13
98726,Butter(350g),4.75,0.35,Dairy,359816,Kylie Davis,4,19.0,20.0,5/28/2023,2024-10-14,b00f860f-f8e5-44f1-9e9e-1983f4d789af,19.0,10/14/2024 3:58
55139,Bananas(6pck),4.5,0.95,Fruits,359816,Kylie Davis,3,13.5,14.25,5/28/2023,2024-10-14,af66fc04-4ccb-41e0-8db2-7e25dc54e245,13.5,10/14/2024 20:15
98726,Butter(350g),4.75,0.35,Dairy,359816,Kylie Davis,4,19.0,13.5,5/28/2023,2024-10-14,febb9c31-3004-4217-95fa-0bad99bb15ce,19.0,10/14/2024 7:58
54229,Brown Bread,5.0,0.5,Bakery,359816,Kylie Davis,3,15.0,14.25,5/28/2023,2024-10-14,7b4adb8d-4b93-470f-bef6-4175b0a3028a,15.0,10/14/2024 16:35
71494,Cupcakes(6pck),5.5,0.6,Snacks,359816,Kylie Davis,3,16.5,20.0,5/28/2023,2024-10-14,c0194d7c-f8da-4b64-8bee-6392d0007a5b,16.5,10/14/2024 17:19
38954,Mustard,4.5,0.35,Sauce,359816,Kylie Davis,1,4.5,16.5,5/28/2023,2024-10-14,bf3bfceb-0c87-46c0-aaf0-0a38bd2c554f,4.5,10/14/2024 13:51
98168,Butter(550g),6.0,0.55,Dairy,359816,Kylie Davis,1,6.0,13.5,5/28/2023,2024-10-14,74568e29-0629-4638-bf83-ebf30034ce88,6.0,10/14/2024 12:08
38402,Onions(5pck),4.0,0.85,Vegetables,359816,Kylie Davis,1,4.0,18.0,5/28/2023,2024-10-14,e3c8cd2d-345b-4a5f-a53c-e2e89a653dd1,4.0,10/14/2024 2:41
40442,Pork,17.0,1.0,Meat,359816,Kylie Davis,3,51.0,4.0,5/28/2023,2024-10-14,66b0b640-5c7a-4e21-8606-8e2586ae60ed,51.0,10/14/2024 20:58
55786,Mushrooms(500g),5.25,0.5,Vegetables,359816,Kylie Davis,4,21.0,17.0,5/28/2023,2024-10-14,71849cf5-5de3-4a3e-a54c-ea47151648a2,21.0,10/14/2024 22:42
10873,Mayonnaise,6.0,0.5,Sauce,359816,Kylie Davis,2,12.0,15.75,5/28/2023,2024-10-14,2df4f7b2-cbbf-472d-a3cd-eaccb592c67b,12.0,10/14/2024 2:51
40442,Pork,17.0,1.0,Meat,359816,Kylie Davis,4,68.0,6.0,5/28/2023,2024-10-14,512c9cef-d279-4d73-8f53-1d672ab946c0,68.0,10/14/2024 4:05
10873,Mayonnaise,6.0,0.5,Sauce,359816,Kylie Davis,4,24.0,17.0,5/28/2023,2024-10-14,7001b902-8912-4d90-8c7f-fc3247993d9f,24.0,10/14/2024 8:36
44817,White Bread,4.0,0.5,Bakery,359816,Kylie Davis,2,8.0,6.0,5/28/2023,2024-10-14,a5c706ae-cdd2-4a65-bd94-cd2798970ff1,8.0,10/14/2024 10:38
67542,Biscuits,4.5,0.35,Snacks,359816,Kylie Davis,4,18.0,12.0,5/28/2023,2024-10-14,2ca778df-df82-4bee-b558-99fa1dc3f8d7,18.0,10/14/2024 7:04
24766,Tortilla(10pck),7.5,0.5,Bakery,359816,Kylie Davis,3,22.5,18.0,5/28/2023,2024-10-14,162ec1de-85f0-473d-bfdb-e45fe6bb536d,22.5,10/14/2024 14:58
71494,Cupcakes(6pck),5.5,0.6,Snacks,359816,Kylie Davis,4,22.0,7.5,5/28/2023,2024-10-14,93a47ca9-28d4-4d35-936c-a72877d53701,22.0,10/14/2024 16:31
79206,Eggs(1.5dozen),11.25,0.9,Dairy,359816,Kylie Davis,1,11.25,16.5,5/28/2023,2024-10-14,47a9a9ab-baa2-47c6-96a9-00da611e0044,11.25,10/14/2024 6:02
55644,Beef,18.0,1.0,Meat,359816,Kylie Davis,1,18.0,33.75,5/28/2023,2024-10-14,799e0a31-0b89-4950-aa47-f2a80d11a5b5,18.0,10/14/2024 2:19
72729,Cheese(14pckts),6.5,0.35,Dairy,359816,Kylie Davis,4,26.0,36.0,5/28/2023,2024-10-14,14e61611-5a4d-4121-b2c7-562cd3893738,26.0,10/14/2024 15:08
55786,Mushrooms(500g),5.25,0.5,Vegetables,359816,Kylie Davis,2,10.5,19.5,5/28/2023,2024-10-14,a19cb215-4e58-4122-9298-3943d4b58030,10.5,10/14/2024 15:12
64629,Peanut Butter,4.5,0.5,Dairy,359816,Kylie Davis,1,4.5,15.75,5/28/2023,2024-10-14,14efe56b-b1a1-4469-90e5-df6472899dbf,4.5,10/14/2024 18:25
48443,Tortilla(6pck),5.0,0.3,Bakery,359816,Kylie Davis,3,15.0,4.5,5/28/2023,2024-10-14,16b1fa18-3db5-45fe-98f3-f92d80f8a099,15.0,10/14/2024 18:28
67542,Biscuits,4.5,0.35,Snacks,359816,Kylie Davis,3,13.5,20.0,5/28/2023,2024-10-14,483d5573-a987-4bc5-8fbf-221bca1a0e74,13.5,10/14/2024 14:53
10873,Mayonnaise,6.0,0.5,Sauce,359816,Kylie Davis,4,24.0,18.0,5/28/2023,2024-10-14,cffa4182-a779-4685-9f1c-71b03f61ef9d,24.0,10/14/2024 17:06
11013,Cookies,4.25,0.35,Snacks,359816,Kylie Davis,1,4.25,6.0,5/28/2023,2024-10-14,cf7687ce-ffa8-431b-9af7-e6dae2cd4647,4.25,10/14/2024 18:22
24244,Chicken,16.0,1.0,Meat,359816,Kylie Davis,1,16.0,17.0,5/28/2023,2024-10-14,297201e5-fca5-4609-9617-1a48a92f6b16,16.0,10/14/2024 15:50
48443,Tortilla(6pck),5.0,0.3,Bakery,359816,Kylie Davis,2,10.0,64.0,5/28/2023,2024-10-14,d4a2ba91-6150-42df-b8d9-475ce1cda44e,10.0,10/14/2024 22:08
54229,Brown Bread,5.0,0.5,Bakery,359816,Kylie Davis,3,15.0,20.0,5/28/2023,2024-10-14,bc8739cc-107a-4830-961e-114d1895f283,15.0,10/14/2024 2:32
95501,Eggs(1dozen),7.5,0.6,Dairy,359816,Kylie Davis,1,7.5,20.0,5/28/2023,2024-10-14,70d58c15-47ac-487e-ba7b-0f75c4a07600,7.5,10/14/2024 19:38
67561,Apples(5pck),5.0,0.8,Fruits,359816,Kylie Davis,1,5.0,15.0,5/28/2023,2024-10-14,9a40c614-0abf-49e9-8d8a-74a9b46781ad,5.0,10/14/2024 5:38
55139,Bananas(6pck),4.5,0.95,Fruits,359816,Kylie Davis,1,4.5,5.0,5/28/2023,2024-10-14,f7e8fcd3-e6d5-4d86-8a9d-c9a82e921ddc,4.5,10/14/2024 17:54
24766,Tortilla(10pck),7.5,0.5,Bakery,359816,Kylie Davis,4,30.0,13.5,5/28/2023,2024-10-14,8ffccc1b-9836-45a5-945b-c9861c291061,30.0,10/14/2024 20:18
40442,Pork,17.0,1.0,Meat,359816,Kylie Davis,3,51.0,7.5,5/28/2023,2024-10-14,08ee8e89-df2c-48da-8827-a51cbf1970a1,51.0,10/14/2024 13:35
48443,Tortilla(6pck),5.0,0.3,Bakery,359816,Kylie Davis,3,15.0,20.0,5/28/2023,2023-10-13,09fa6e0b-6e85-4bd1-a585-8fdb5c442f13,15.0,10/13/2023 5:22
98726,Butter(350g),4.75,0.35,Dairy,359816,Kylie Davis,4,19.0,20.0,5/28/2023,2023-10-13,0e6f7efc-6ef8-4ee7-b0c4-bbeaee6480a2,19.0,10/13/2023 10:12
55139,Bananas(6pck),4.5,0.95,Fruits,359816,Kylie Davis,2,9.0,14.25,5/28/2023,2023-10-13,f9312d23-a25b-45d4-a40a-bb15bad1559e,9.0,10/13/2023 17:04
98726,Butter(350g),4.75,0.35,Dairy,359816,Kylie Davis,4,19.0,13.5,5/28/2023,2023-10-13,a9a1d73b-d61c-4e88-a0c2-dd0d3ec818b4,19.0,10/13/2023 2:47
54229,Brown Bread,5.0,0.5,Bakery,359816,Kylie Davis,4,20.0,14.25,5/28/2023,2023-10-13,9fc26487-faf7-4fcd-a9b5-b8b313127e35,20.0,10/13/2023 22:47
71494,Cupcakes(6pck),5.5,0.6,Snacks,359816,Kylie Davis,2,11.0,20.0,5/28/2023,2023-10-13,a89e0689-9d68-4a6c-b09d-b4640e7e3023,11.0,10/13/2023 22:51
38954,Mustard,4.5,0.35,Sauce,359816,Kylie Davis,2,9.0,16.5,5/28/2023,2023-10-13,0c9d5091-0a83-4ab8-90ec-10113be75701,9.0,10/13/2023 18:53
98168,Butter(550g),6.0,0.55,Dairy,359816,Kylie Davis,1,6.0,13.5,5/28/2023,2023-10-13,3b2ef38a-297e-44a6-a537-817b8c6d7105,6.0,10/13/2023 6:33
38402,Onions(5pck),4.0,0.85,Vegetables,359816,Kylie Davis,3,12.0,18.0,5/28/2023,2023-10-13,37a6a9c0-04e8-46fe-8154-65338a4527c1,12.0,10/13/2023 12:18
