product_id,product_name,product_price,average_weight_kg,product_category,customer_id,customer_name,product_count,total_amount,historical_amount,customer_start_date,last_transaction_date,transaction_id,transaction_amount,transaction_time
48443,Tortilla(6pck),5,0.3,Bakery,359816,Kylie Davis,4,20,20,5/28/2023,5/6/2024,61a6721c-a04b-46f7-81f0-27dd35b5733d,20,5/6/2024 10:53
44817,White Bread,4,0.5,Bakery,972886,Delina Ivanova,3,12,12,10/11/2021,8/15/2024,39b6d3f7-6f88-4b4c-9e24-4d32f9e7d5be,12,8/15/2024 6:56
60571,Tomato Ketchup,5.5,0.75,Sauce,121533,John Castillo,3,16.5,16.5,2/15/2023,11/3/2024,67591a5b-8291-43ba-b8fe-62a6ca4368bb,16.5,11/3/2024 3:40
55644,Beef,18,1,Meat,121533,John Castillo,2,36,16.5,2/15/2023,11/3/2024,60102540-053b-41f0-973c-27c463e6724b,36,8/21/2024 17:59
67243,Shredded Cheese(350g),7,0.35,Dairy,703094,Leslie Pitts,3,21,21,3/15/2021,9/20/2024,d578721e-7626-4899-befc-4bc8dc0dd06c,21,9/20/2024 10:29
32815,Eggs(0.5dozen),4.5,0.3,Dairy,972886,Delina Ivanova,2,9,12,10/11/2021,9/4/2024,09d8c9d7-23e1-4aa9-a1fd-1b77ac3d7d9a,9,9/4/2024 18:07
11013,Cookies,4.25,0.35,Snacks,770025,Matthew Gordon,4,17,17,7/19/2020,11/8/2024,aadb8ab4-9559-45cb-9339-efefe004665e,17,11/8/2024 13:51
79206,Eggs(1.5dozen),11.25,0.9,Dairy,197461,Kim Scott,3,33.75,33.75,12/1/2020,3/15/2024,c5837fb9-d248-4557-835b-b78d86dcbd48,33.75,3/15/2024 7:10
38954,Mustard,4.5,0.35,Sauce,703094,Leslie Pitts,3,13.5,21,3/15/2021,9/20/2024,66e38bf3-5362-4ac4-aa77-6d80f7701da7,13.5,8/24/2024 16:32
64629,Peanut Butter,4.5,0.5,Dairy,197461,Kim Scott,1,4.5,33.75,12/1/2020,11/21/2024,d5e75e7d-cd8d-45e4-88ca-8779e85e1952,4.5,11/21/2024 20:19
24766,Tortilla(10pck),7.5,0.5,Bakery,703094,Leslie Pitts,1,7.5,13.5,3/15/2021,9/20/2024,e457e53a-807e-4fe2-9183-6b180e629cca,7.5,7/26/2024 7:38
44817,White Bread,4,0.5,Bakery,208839,Selvin Furtado,3,12,12,3/7/2020,3/21/2024,39698c00-b9a5-4936-a1f8-7d97247546c8,12,3/21/2024 5:37
64629,Peanut Butter,4.5,0.5,Dairy,413186,Alison Williams,1,4.5,4.5,12/3/2019,4/4/2024,904b2073-c8e8-4e2b-8e1d-93438924e6f5,4.5,4/4/2024 1:30
44817,White Bread,4,0.5,Bakery,703094,Leslie Pitts,3,12,7.5,3/15/2021,9/20/2024,fe5dacd8-8f59-4572-978c-a78786abf89c,12,5/26/2024 9:30
